Date,Underlying,Strike,Maturity,OptionType,ImpliedVol,OptionPrice,SpotPrice,RiskFreeRate
2024-01-15,CO1,67.2,0.083333,C,0.69153,,82.0,0.053
2024-01-15,CO1,72.2,0.083333,C,0.53701,,82.0,0.053
2024-01-15,CO1,77.1,0.083333,C,0.4467,,82.0,0.053
2024-01-15,CO1,82.0,0.083333,C,0.40423,,82.0,0.053
2024-01-15,CO1,86.9,0.083333,C,0.38102,,82.0,0.053
2024-01-15,CO1,91.8,0.083333,C,0.39612,,82.0,0.053
2024-01-15,CO1,96.8,0.083333,C,0.45379,,82.0,0.053
2024-01-15,CO1,67.2,0.25,C,0.53505,,82.0,0.053
2024-01-15,CO1,72.2,0.25,C,0.45963,,82.0,0.053
2024-01-15,CO1,77.1,0.25,C,0.41787,,82.0,0.053
2024-01-15,CO1,82.0,0.25,C,0.38143,,82.0,0.053
2024-01-15,CO1,86.9,0.25,C,0.361,,82.0,0.053
2024-01-15,CO1,91.8,0.25,C,0.35269,,82.0,0.053
2024-01-15,CO1,96.8,0.25,C,0.33812,,82.0,0.053
2024-01-15,CO1,67.2,0.5,C,0.49128,,82.0,0.053
2024-01-15,CO1,72.2,0.5,C,0.44832,,82.0,0.053
2024-01-15,CO1,77.1,0.5,C,0.41017,,82.0,0.053
2024-01-15,CO1,82.0,0.5,C,0.38986,,82.0,0.053
2024-01-15,CO1,86.9,0.5,C,0.36352,,82.0,0.053
2024-01-15,CO1,91.8,0.5,C,0.34591,,82.0,0.053
2024-01-15,CO1,96.8,0.5,C,0.34923,,82.0,0.053
2024-01-15,CO1,67.2,1.0,C,0.4994,,82.0,0.053
2024-01-15,CO1,72.2,1.0,C,0.46223,,82.0,0.053
2024-01-15,CO1,77.1,1.0,C,0.42469,,82.0,0.053
2024-01-15,CO1,82.0,1.0,C,0.40506,,82.0,0.053
2024-01-15,CO1,86.9,1.0,C,0.389,,82.0,0.053
2024-01-15,CO1,91.8,1.0,C,0.36702,,82.0,0.053
2024-01-15,CO1,96.8,1.0,C,0.36166,,82.0,0.053
2024-01-15,CL1,64.4,0.083333,C,0.67946,,78.5,0.053
2024-01-15,CL1,69.1,0.083333,C,0.52664,,78.5,0.053
2024-01-15,CL1,73.8,0.083333,C,0.42544,,78.5,0.053
2024-01-15,CL1,78.5,0.083333,C,0.38996,,78.5,0.053
2024-01-15,CL1,83.2,0.083333,C,0.36857,,78.5,0.053
2024-01-15,CL1,87.9,0.083333,C,0.38321,,78.5,0.053
2024-01-15,CL1,92.6,0.083333,C,0.4454,,78.5,0.053
2024-01-15,CL1,64.4,0.25,C,0.51275,,78.5,0.053
2024-01-15,CL1,69.1,0.25,C,0.44908,,78.5,0.053
2024-01-15,CL1,73.8,0.25,C,0.38989,,78.5,0.053
2024-01-15,CL1,78.5,0.25,C,0.36163,,78.5,0.053
2024-01-15,CL1,83.2,0.25,C,0.34984,,78.5,0.053
2024-01-15,CL1,87.9,0.25,C,0.34236,,78.5,0.053
2024-01-15,CL1,92.6,0.25,C,0.33797,,78.5,0.053
2024-01-15,CL1,64.4,0.5,C,0.48563,,78.5,0.053
2024-01-15,CL1,69.1,0.5,C,0.43526,,78.5,0.053
2024-01-15,CL1,73.8,0.5,C,0.39255,,78.5,0.053
2024-01-15,CL1,78.5,0.5,C,0.36922,,78.5,0.053
2024-01-15,CL1,83.2,0.5,C,0.35065,,78.5,0.053
2024-01-15,CL1,87.9,0.5,C,0.3439,,78.5,0.053
2024-01-15,CL1,92.6,0.5,C,0.33047,,78.5,0.053
2024-01-15,CL1,64.4,1.0,C,0.47736,,78.5,0.053
2024-01-15,CL1,69.1,1.0,C,0.44873,,78.5,0.053
2024-01-15,CL1,73.8,1.0,C,0.41425,,78.5,0.053
2024-01-15,CL1,78.5,1.0,C,0.38829,,78.5,0.053
2024-01-15,CL1,83.2,1.0,C,0.37524,,78.5,0.053
2024-01-15,CL1,87.9,1.0,C,0.36176,,78.5,0.053
2024-01-15,CL1,92.6,1.0,C,0.34878,,78.5,0.053
